input_image,cluster_2,cluster_1,cluster_0,llm_score,llm_response
data\3212_1.jpg,data\3212_1.jpg,data\1035_1.jpg,data\1569_3.jpg,7,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. The items I see are a black shirt, a white shirt, and a black jacket.
2. The black shirt and black jacket are the same item, and the white shirt is a different item.
3. Score: 7"
data\1063_1.jpg,data\3494_3.jpg,data\1063_1.jpg,data\759_2.jpg,8,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. The items I see are a striped shirt, a white shirt, and a jacket.
2. The striped shirt and the white shirt are both tops, and they match well in style and color. The jacket is a bottom.
3. Score: 8"
data\1322_1.jpg,data\1322_1.jpg,data\3489_1.jpg,data\376_3.jpg,9,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. The items I see are a t-shirt, a pair of shorts, and a hoodie.
2. The t-shirt and hoodie are both tops, while the shorts are the bottom. They match well in style and color, so the outfit receives a high score of 9.
3. Score: 9"
data\1293_1.jpg,data\1293_1.jpg,data\1683_3.jpg,data\2422_2.jpg,10,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. List the items you see: 1 black shirt, 1 white skirt, 1 black shirt, 1 white skirt.
2. The black shirt and white skirt are the same, so they match well in style and color.
3. Score: 10"
data\3077_1.jpg,data\3077_1.jpg,data\3439_1.jpg,data\2794_2.jpg,8,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. The items I see are a t-shirt, a pair of shorts, and a hoodie.
2. The t-shirt and hoodie are both tops, while the shorts are the bottom. They match well in style and color, so the outfit receives a high score of 8-10.
3. Score: 8"
data\1269_1.jpg,data\1269_1.jpg,data\832_1.jpg,data\2413_2.jpg,8,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. List the items you see: 1 t-shirt, 1 pair of jeans, 1 hoodie.
2. The t-shirt and jeans are the main items in the outfit, and they match well in style and color.
3. Score: 8"
data\187_1.jpg,data\1314_1.jpg,data\187_1.jpg,data\605_3.jpg,10,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. List the items you see: 1 t-shirt, 1 hoodie, 1 pair of jeans.
2. The t-shirt and hoodie are both tops, and the jeans are a bottom. The outfit contains both a top and a bottom, and they match well in style and color.
3. Score: 10"
data\2311_1.jpg,data\2027_1.jpg,data\2311_1.jpg,data\1184_2.jpg,6,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. List the items you see: 1 t-shirt, 1 pair of jeans, 1 hoodie.
2. The t-shirt and jeans are a good match, but the hoodie is not a good match.
3. Score: 6"
data\1262_1.jpg,data\1262_1.jpg,data\76_2.jpg,data\2526_3.jpg,10,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. List the items you see: 1 jacket, 1 pair of pants, 1 shirt.
2. The jacket is white and has a collar, while the pants are white and have a matching collar. The shirt is white and has a collar.
3. The outfit contains both a top and a bottom, and they match well in style and color.
4. Score: 10"
data\2967_1.jpg,data\2967_1.jpg,data\2959_3.jpg,data\653_3.jpg,8,"USER: The main item description is: 

You are a fashion evaluator. First, look at the image and **list all the clothing items you see**, specifying their types (e.g., '1 t-shirt, 1 pair of jeans, 1 hoodie').

Then determine whether the outfit contains at least one **top** and one **bottom**.

Rules:
- A valid outfit must include **at least one top and one bottom**.
- If the outfit includes **only tops** or **only bottoms**, give it a **low score (1–3)**.
- If the outfit includes both a top and a bottom and they match well in style and color, give a **higher score (8–10)**.
- Use the full score range from 1 to 10.

In your response, do the following:
1. List the items you see(e.g., top, bottom, others).
2. Explain your reasoning in 1–2 sentences.
3. On a new line, write only: Score: X (e.g., Score: 7)

ASSISTANT:
ASSISTANT:

1. The items I see are a black hoodie, a black t-shirt, and a pair of black jeans.
2. The hoodie and t-shirt are both black, and they match well in style and color. The jeans also match well with the other two items.
3. Score: 8"
